,Unnamed: 0,rxn_id,rxn_smiles,solvent,temp,G_act,G_r,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
0,0,0,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],water,298.15,15.8758956211362,-51.8815261591087,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[C:1](#[N:5])[C:8]1([CH3:7])[CH2:6][CH:2]([CH3:4])[CH:3]=[N:9]1,[CH:3]#[N+:4][C-:5]([CH3:6])[C:7]#[N:8].[CH2:1]=[CH:2][CH3:9]>>[CH3:1][CH:2]1[CH:3]=[N:4][C:5]([CH3:6])([C:7]#[N:8])[CH2:9]1,[CH2]=[CH][CH3].[CH]#[N+][C-]([CH3])[C]#[N]>>[CH2]1[CH]([CH3])[CH]=[N][C]1([CH3])[C]#[N]
1,1,1,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[C:6]([CH3:7])([C:8]#[N:9])[N:5]=[CH:4]1,water,298.15,15.1554769447853,-51.3986808336462,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH:1]1([CH3:4])[CH2:7][CH:3]=[N:9][C:8]1([C:2]#[N:5])[CH3:6],[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9].[CH2:1]=[CH:2][CH3:3]>>[CH3:1][CH:2]1[CH2:3][CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],[CH2]=[CH][CH3].[CH]#[N+][C-]([CH3])[C]#[N]>>[CH2]1[CH]([CH3])[C]([CH3])([C]#[N])[N]=[CH]1
2,2,2,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[o:9][n:8][c:7]1[C:5]([CH3:4])=[O:6],water,298.15,18.0138241421236,-66.8223485610031,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[CH3:1][c:4]1[cH:2][c:3]([C:7]([CH3:5])=[O:6])[n:8][o:9]1,[CH:5]#[C:6][CH3:7].[CH3:1][C:2](=[O:3])[C:4]#[N+:9][O-:8]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([CH3:7])[o:8][n:9]1,[CH3][C](=[O])[C]#[N+][O-].[CH]#[C][CH3]>>[cH]1[c]([CH3])[o][n][c]1[C]([CH3])=[O]
3,3,3,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[c:7]([C:5]([CH3:4])=[O:6])[n:8][o:9]1,water,298.15,23.6870788323347,-62.4812893583934,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[c:1]1([CH3:5])[c:2]([C:3](=[O:6])[CH3:7])[n:8][o:9][cH:4]1,[CH:7]#[C:8][CH3:9].[CH3:1][C:2](=[O:3])[C:4]#[N+:5][O-:6]>>[CH3:1][C:2](=[O:3])[c:4]1[n:5][o:6][cH:7][c:8]1[CH3:9],[CH3][C](=[O])[C]#[N+][O-].[CH]#[C][CH3]>>[cH]1[c]([CH3])[c]([C]([CH3])=[O])[n][o]1
4,4,4,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[CH3:1][c:2]1[c:3]([CH3:4])[n:6]([CH3:5])[n:7][c:8]1[C:9]([CH3:10])=[O:11],water,298.15,23.4380941749408,-84.8364587500742,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[c:1]1([C:8]([CH3:4])=[O:11])[c:2]([CH3:9])[c:10]([CH3:3])[n:6]([CH3:5])[n:7]1,[C:8]([CH3:9])#[C:10][CH3:11].[CH3:1][C:2](=[O:3])[C:4]#[N+:5][N-:6][CH3:7]>>[CH3:1][C:2](=[O:3])[c:4]1[n:5][n:6]([CH3:7])[c:8]([CH3:9])[c:10]1[CH3:11],[CH3][C]#[C][CH3].[CH3][N-][N+]#[C][C]([CH3])=[O]>>[CH3][c]1[c]([CH3])[n]([CH3])[n][c]1[C]([CH3])=[O]
5,5,5,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:9]([CH3:8])[O:10][O:11]1,water,298.15,20.9698013037915,-57.7850455591207,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[C:1]1([F:7])=[C:6]([C:9]([NH:2][CH3:8])=[O:10])[O:4][O:11][CH:5]1[CH3:3],[CH:8]([CH3:9])=[O+:10][O-:11].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:8]([CH3:9])[O:10][O:11]1,[CH3][NH][C](=[O])[C]#[C][F].[CH3][CH]=[O+][O-]>>[CH3][NH][C](=[O])[C]1=[C]([F])[CH]([CH3])[O][O]1
6,6,6,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][CH:9]1[CH3:8],water,298.15,11.7226247038536,-63.721331489266,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:8]([C:3]1=[C:6]([F:7])[O:4][O:10][CH:5]1[CH3:9])=[O:11],[O-:8][O+:9]=[CH:10][CH3:11].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:8][O:9][CH:10]1[CH3:11],[CH3][NH][C](=[O])[C]#[C][F].[CH3][CH]=[O+][O-]>>[CH3][NH][C](=[O])[C]1=[C]([F])[O][O][CH]1[CH3]
7,7,7,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],water,298.15,7.26804372296027,-86.9961016738254,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[C:1]1([C:7](=[O:5])[NH:6][CH3:2])=[C:4]([CH3:10])[CH:8]([CH3:3])[O:9][CH2:11]1,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[CH:8]([CH3:9])=[O+:10][CH2-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[CH:8]([CH3:9])[O:10][CH2:11]1,[CH2-][O+]=[CH][CH3].[CH3][C]#[C][C](=[O])[NH][CH3]>>[CH3][C]1=[C]([C](=[O])[NH][CH3])[CH2][O][CH]1[CH3]
8,8,8,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH:10]([CH3:11])[O:9][CH2:8]1,water,298.15,6.28967290160801,-86.7996706665684,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][CH:3]1[C:4]([C:7]([NH:6][CH3:2])=[O:9])=[C:8]([CH3:10])[CH2:11][O:5]1,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[CH2-:8][O+:9]=[CH:10][CH3:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],[CH2-][O+]=[CH][CH3].[CH3][C]#[C][C](=[O])[NH][CH3]>>[CH3][C]1=[C]([C](=[O])[NH][CH3])[CH]([CH3])[O][CH2]1
9,9,9,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:10]([C:11]#[N:12])=[N:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,16.0444746634968,-50.4091967525863,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH3:1][C:7]1([C:4]#[N:8])[CH2:2][C:6]([CH3:10])([CH3:11])[C:3]([C:5]#[N:9])=[N:12]1,[CH2:5]=[C:6]([CH3:7])[CH3:8].[CH3:1][C-:2]([C:3]#[N:4])[N+:12]#[C:9][C:10]#[N:11]>>[CH3:1][C:2]1([C:3]#[N:4])[CH2:5][C:6]([CH3:7])([CH3:8])[C:9]([C:10]#[N:11])=[N:12]1,[CH2]=[C]([CH3])[CH3].[CH3][C-]([C]#[N])[N+]#[C][C]#[N]>>[CH2]1[C]([CH3])([CH3])[C]([C]#[N])=[N][C]1([CH3])[C]#[N]
