rxn_smiles,G_act
[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[C:1]1([CH3:6])([C:8]#[N:9])[N:4]=[CH:3][CH:2]([CH3:7])[CH2:5]1,15.875895621136172
[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[C:1]([C:3]1([CH3:6])[CH:2]([CH3:9])[CH2:7][CH:4]=[N:5]1)#[N:8],15.155476944785311
[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[c:1]1([C:7]([CH3:4])=[O:6])[cH:8][c:2]([CH3:5])[o:3][n:9]1,18.01382414212364
[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[CH3:1][C:7]([c:3]1[c:2]([CH3:6])[cH:5][o:9][n:8]1)=[O:4],23.6870788323347
[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[n:1]1([CH3:8])[n:3][c:4]([C:7](=[O:9])[CH3:11])[c:2]([CH3:6])[c:10]1[CH3:5],23.4380941749408
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[C:1]1([C:10]([NH:2][CH3:5])=[O:6])=[C:9]([F:3])[CH:4]([CH3:7])[O:11][O:8]1,20.96980130379149
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[C:1]1([C:9]([NH:2][CH3:5])=[O:6])=[C:11]([F:3])[O:4][O:7][CH:8]1[CH3:10],11.722624703853556
[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[O:1]=[C:6]([NH:8][CH3:3])[C:10]1=[C:2]([CH3:5])[CH:11]([CH3:9])[O:7][CH2:4]1,7.2680437229602655
[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[O:1]=[C:6]([C:9]1=[C:2]([CH3:5])[CH2:11][O:8][CH:4]1[CH3:7])[NH:10][CH3:3],6.289672901608013
[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[N:1]#[C:7][C:2]1=[N:4][C:3]([C:8]#[N:6])([CH3:12])[CH2:5][C:11]1([CH3:9])[CH3:10],16.044474663496793
[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[C:1]([C:2]1([CH3:11])[N:3]=[C:7]([C:12]#[N:9])[CH2:10][C:5]1([CH3:6])[CH3:8])#[N:4],13.604004801369472
[CH3:1][O:2][C:3]#[C:4][O:5][CH3:6].[CH3:7][C:8]([CH3:9])=[NH+:10][O-:11]>>[O:1]([C:6]1=[C:7]([O:2][CH3:5])[C:11]([CH3:8])([CH3:9])[NH:4][O:3]1)[CH3:10],29.72168741039899
[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[C:1]1([CH3:5])=[CH:11][N:4]([C:3](=[O:8])[O:13][CH3:7])[NH:9][C:12]1([C:2]#[N:6])[CH3:10],30.62815208822521
[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[C:1]1([CH3:11])=[CH:6][C:3]([CH3:4])([C:13]#[N:9])[NH:12][N:5]1[C:8]([O:2][CH3:10])=[O:7],27.26830619740928
[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[CH3:1][C:11]1=[C:10]([CH3:5])[C:3]([C:8]#[N:14])([CH3:12])[NH:7][C:9]1([C:4]#[N:2])[C:6]#[N:13],24.16757346471481
[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[C:1]1([CH3:10])=[C:6]([F:11])[CH:4]([C:2]([CH3:8])=[O:13])[O:5][CH:3]1[C:12]([CH3:7])=[O:9],9.288554883851594
[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[C:1]12([F:5])[CH:8]3[O:11][CH:4]([CH:2]=[CH:12]3)[C:13]1([F:6])[CH:3]([CH3:7])[NH:10][CH2:9]2,6.576977403964177
[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[C:1]1([F:5])=[C:13]([F:6])[CH:4]2[CH:2]3[CH2:9][NH:10][CH:3]([CH3:7])[CH:12]3[CH:8]1[O:11]2,10.600451111291504
[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[N:1]#[C:6][C:5]1([CH3:13])[CH:10]([CH3:9])[N:3]([CH3:7])[NH:11][C:14]1([C:4]#[N:2])[C:12]#[N:8],6.160372383013248
[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[O:1]([CH3:5])[C:11]1([O:6][CH3:4])[C:2]([F:8])([F:9])[C:12]([CH3:3])([CH3:7])[N:13]=[N:10]1,24.07477281558775
[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[O:1]([CH3:5])[C:10]1([O:6][CH3:4])[C:2]([F:8])([F:12])[N:9]=[N:3][C:7]1([CH3:11])[CH3:13],26.674148058102805
[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[O:1]=[C:6]([C:5]1=[CH:8][N:3]([C:12]([CH3:9])=[O:14])[O:7][N:2]1[C:10]#[N:13])[O:11][CH3:4],4.4482037793433165
[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[O:1]=[C:6]([C:5]1=[CH:12][N:10]([C:14]#[N:7])[O:3][N:2]1[C:11]([CH3:8])=[O:13])[O:9][CH3:4],5.025011958494998
[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[CH:1]12[C:3]([C:7](=[O:8])[CH3:14])=[N:13][N:11]([CH3:9])[CH:10]1[CH:4]1[O:2][CH:6]2[CH:5]=[CH:12]1,13.976855666416348
[CH:1]1=[CH:2][CH:3]2[CH2:4][CH2:5][CH:6]1[CH2:7]2.[CH:8]#[N+:9][CH-:10][C:11](=[O:12])[O:13][CH3:14]>>[CH2:1]1[CH:6]2[CH2:2][CH:4]([CH2:12]1)[CH:14]1[CH:5]2[CH:13]([C:10]([O:3][CH3:7])=[O:9])[N:8]=[CH:11]1,12.68209899042414
[CH3:1]/[C:2]([F:3])=[C:4](\[CH3:5])[F:6].[CH3:7][C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14]>>[C@@:1]1([F:4])([CH3:9])[N:2]([C:11]([CH3:8])=[O:13])[N:3]=[C:10]([C:14]#[N:7])[C@@:5]1([F:6])[CH3:12],21.010449656942672
[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH3:1][C:10]([C:5]1=[CH:12][C:8]([CH3:6])([CH3:14])[O:3][N:4]1[C:2]([O:11][CH3:7])=[O:13])=[O:9],20.107811511183016
[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH3:1][C:12]([C:5]1=[CH:7][N:6]([C:3](=[O:11])[O:13][CH3:9])[O:14][C:4]1([CH3:2])[CH3:8])=[O:10],18.05668151197062
[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7].[CH3:8][c-:9]1[o+:10][n:11][o:12][c:13]1=[O:14]>>[C:1]([F:2])([F:4])([C:6]1=[C:5]([CH3:12])[N:3]2[O:7][C:14](=[O:8])[C:11]1([CH3:9])[O:13]2)[F:10],20.551995826465863
[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[O:1]=[C:6]([O:5][CH3:12])[C:10]1=[C:4]([F:2])[C:11]([CH3:9])=[N:13][C:3]1([C:7]#[N:15])[C:14]#[N:8],17.918043329459735
[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[O:1]=[C:6]([O:5][CH3:15])[C:13]1=[C:4]([F:2])[C:14]([C:3]#[N:7])([C:11]#[N:10])[N:8]=[C:9]1[CH3:12],17.645399883593914
[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:6]12[C:5]([CH3:12])([NH:9][O:14][C:13]1([CH3:3])[CH3:7])[CH:10]1[CH:2]=[CH:4][CH:11]2[O:8]1,13.035463990655394
[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:6]1=[C:5]([CH3:11])[CH:13]2[CH:2]3[CH:4]([C:7]([CH3:9])([CH3:12])[O:3][NH:10]3)[CH:14]1[O:8]2,15.219124659720332
