,Unnamed: 0,idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family,rxn_smiles,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
0,0,0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],InChI=1S/C2H3N3O/c1-2-3-5-6-4-2/h1H3,InChI=1S/C2H3N3O/c1-2(4-3)5-6/h1H3,48.61085,26.77621,,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],[c:1]1([C:2]([H:7])([H:8])[H:9])[n:3][o:4][n:5][n:6]1>>[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],[CH3:1][c:2]1[n:3][o:4][n:6][n:5]1>>[CH3:1][C:2]([N:3]=[O:4])=[N+:5]=[N-:6],[C]([c]1[n][o][n][n]1)([H])([H])[H]>>[C]([C]([N]=[O])=[N+]=[N-])([H])([H])[H]
1,1,1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],InChI=1S/C2H3N3O/c1-2-3-5-6-4-2/h1H3,InChI=1S/C2H3N3O/c1-3-2-4-5-6/h1H3,74.0298,28.79099,,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],[c:1]1([C:2]([H:7])([H:8])[H:9])[n:3][o:4][n:5][n:6]1>>[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],[CH3:1][c:3]1[n:2][n:5][o:6][n:4]1>>[CH3:1][N:2]=[C:3]=[N:4][N:5]=[O:6],[C]([c]1[n][o][n][n]1)([H])([H])[H]>>[C]([N]=[C]=[N][N]=[O])([H])([H])[H]
2,2,2,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",InChI=1S/C3H6O.H2O/c1-2-4-3-1;/h1-3H2;1H2,97.422,12.6022,,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],[C:1]([O:2][C:4]([C:3]([O:5][H:9])([H:7])[H:11])([H:6])[H:13])([H:8])([H:10])[H:12]>>[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],[CH2:1]([CH2:2][O:3][CH3:4])[OH:5]>>[CH2:1]1[CH2:2][O:3][CH2:4]1.[OH2:5],[C]([O][C]([C]([O][H])([H])[H])([H])[H])([H])([H])[H]>>[C]1([H])([H])[O][C]([H])([H])[C]1([H])[H].[O]([H])[H]
3,3,3,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C2H4O.CH4O/c1-2-3-1;1-2/h1-2H2;2H,1H3",75.25375,28.98589,,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,[C:1]([O:2][C:3]([H:7])([H:9])[H:12])([C:4]([O:5][H:6])([H:10])[H:13])([H:8])[H:11]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,[CH2:1]([CH2:2][O:5][CH3:4])[OH:3]>>[CH2:1]1[CH2:2][O:3]1.[CH3:4][OH:5],[C]([O][C]([C]([O][H])([H])[H])([H])[H])([H])([H])[H]>>[C]([O][H])([H])([H])[H].[C]1([H])([H])[C]([H])([H])[O]1
4,4,4,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C2H4O.CH4O/c1-2-3;1-2/h2H,1H3;2H,1H3",72.16356,1.41779,,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],[C:1]([C:3]([O:2][H:8])([H:12])[H:13])([O:5][C:4]([H:7])([H:9])[H:10])([H:6])[H:11]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],[CH2:1]([CH2:2][OH:3])[O:5][CH3:4]>>[CH3:1][CH:2]=[O:3].[CH3:4][OH:5],[C]([O][C]([C]([O][H])([H])[H])([H])[H])([H])([H])[H]>>[C]([O][H])([H])([H])[H].[C]([C](=[O])[H])([H])([H])[H]
5,5,6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C3H6O.H2O/c1-3-4-2;/h3H,1H2,2H3;1H2",71.0891,8.33039,"1,3_Insertion_ROR",[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],[C:1]([C:4]([O:2][H:7])([H:6])[H:13])([O:5][C:3]([H:8])([H:10])[H:12])([H:9])[H:11]>>[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],[CH2:1]([CH2:2][O:3][CH3:4])[OH:5]>>[CH2:1]=[CH:2][O:3][CH3:4].[OH2:5],[C]([O][C]([C]([O][H])([H])[H])([H])[H])([H])([H])[H]>>[C]([O][C](=[C]([H])[H])[H])([H])([H])[H].[O]([H])[H]
6,6,7,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],InChI=1S/CHN3O/c2-4-3-1-5/h1H,InChI=1S/CHN.N2O/c1-2;1-2-3/h1H;,48.52271,9.02973,,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],[O:1]=[C:2]([N:5]=[N+:3]=[N-:4])[H:6]>>[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],[CH:1]([N:2]=[N+:4]=[N-:3])=[O:5]>>[CH:1]#[N:2].[N-:3]=[N+:4]=[O:5],[O]=[C]([N]=[N+]=[N-])[H]>>[C](#[N])[H].[O]=[N+]=[N-]
7,7,8,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-6-4-2-3-5-6/h6H,2,4-5H2,1H3/t6-/m0/s1",73.6466,53.58964,,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,[C:1]1([H:8])([H:14])[C:2]([H:12])([H:15])[C@@:5]2([H:10])[C:3]([H:7])([H:16])[C@:4]1([H:13])[C:6]2([H:9])[H:11]>>[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,[CH2:1]1[C@H:2]2[CH2:3][C@@H:4]1[CH2:5][CH2:6]2>>[CH3:1][C@@H:2]1[CH2:3][C:4][CH2:5][CH2:6]1,[C]1([H])([H])[C@@]2([H])[C]([H])([H])[C@]1([H])[C]([H])([H])[C]2([H])[H]>>[C]1([H])([H])[C@]([C]([H])([H])[H])([H])[C]([H])([H])[C]([H])([H])[C]1
8,8,9,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",62.05624,7.47231,,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],[C:1]1([H:15])([H:16])[C:4]([H:9])([H:11])[C@:6]2([H:8])[C:2]([H:12])([H:13])[C@@:5]1([H:14])[C:3]2([H:7])[H:10]>>[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],[CH2:1]1[C@H:3]2[CH2:2][C@@H:5]1[CH2:6][CH2:4]2>>[CH2:1]=[CH:2][CH2:3][CH2:4][CH:5]=[CH2:6],[C]1([H])([H])[C@@]2([H])[C]([H])([H])[C@]1([H])[C]([H])([H])[C]2([H])[H]>>[C](=[C]([C]([C]([C](=[C]([H])[H])[H])([H])[H])([H])[H])[H])([H])[H]
9,9,10,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H8.H2/c1-2-5-4-6(5)3-1;/h1-2,5-6H,3-4H2;1H/t5-,6+;/m0./s1",110.46106,23.57159,,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],[C:1]1([H:8])([H:9])[C@:2]2([H:11])[C:3]([H:7])([H:14])[C@@:6]([H:15])([C:4]2([H:10])[H:13])[C:5]1([H:12])[H:16]>>[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],[CH2:1]1[CH2:2][C@H:3]2[CH2:4][C@@H:5]1[CH2:6]2>>[CH:1]1=[CH:2][C@H:3]2[CH2:4][C@H:5]2[CH2:6]1.[H:7][H:8],[C]1([H])([H])[C@@]2([H])[C]([H])([H])[C@]1([H])[C]([H])([H])[C]2([H])[H]>>[C]1([H])([H])[C@]2([H])[C]([H])=[C]([H])[C]([H])([H])[C@]12[H].[H][H]
