,original idx,rxn_smiles,barrier
0,0,[CH3:1][c:2]1[n:3][o:4][n:6][n:5]1>>[CH3:1][C:2]([N:3]=[O:4])=[N+:5]=[N-:6],48.61085
1,1,[CH3:1][c:3]1[n:2][n:5][o:6][n:4]1>>[CH3:1][N:2]=[C:3]=[N:4][N:5]=[O:6],74.0298
2,2,[CH2:1]([CH2:2][O:3][CH3:4])[OH:5]>>[CH2:1]1[CH2:2][O:3][CH2:4]1.[OH2:5],97.422
3,3,[CH2:1]([CH2:2][O:5][CH3:4])[OH:3]>>[CH2:1]1[CH2:2][O:3]1.[CH3:4][OH:5],75.25375
4,4,[CH2:1]([CH2:2][OH:3])[O:5][CH3:4]>>[CH3:1][CH:2]=[O:3].[CH3:4][OH:5],72.16356
5,5,[CH2:1]([CH2:2][O:3][CH3:4])[OH:5]>>[CH2:1]=[CH:2][O:3][CH3:4].[OH2:5],71.0891
6,6,[CH:1]([N:2]=[N+:4]=[N-:3])=[O:5]>>[CH:1]#[N:2].[N-:3]=[N+:4]=[O:5],48.52271
7,7,[CH2:1]1[C@H:2]2[CH2:3][C@@H:4]1[CH2:5][CH2:6]2>>[CH3:1][C@@H:2]1[CH2:3][C:4][CH2:5][CH2:6]1,73.6466
8,8,[CH2:1]1[C@H:3]2[CH2:2][C@@H:5]1[CH2:6][CH2:4]2>>[CH2:1]=[CH:2][CH2:3][CH2:4][CH:5]=[CH2:6],62.05624
9,9,[CH2:1]1[CH2:2][C@H:3]2[CH2:4][C@@H:5]1[CH2:6]2>>[CH:1]1=[CH:2][C@H:3]2[CH2:4][C@H:5]2[CH2:6]1.[H:7][H:8],110.46106
10,10,[CH2:1]1[CH2:2][C@H:3]2[CH2:4][C@@H:5]1[CH2:6]2>>[CH3:1][CH2:2][CH:3]1[CH2:4][C:5][CH2:6]1,81.42548000000002
11,11,[OH:1][c:2]1[nH:3][n:4][cH:5][n:6]1>>[OH:1][c:2]1[n:3][n:4][cH:5][nH:6]1,58.54008
12,12,[n:1]1[nH:5][c:3]([OH:4])[n:2][cH:6]1>>[NH-:1][N+:2]1=[C:3]([OH:4])[N:5]=[CH:6]1,110.29537
13,13,[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[OH:1][C@H:2]1[N:3]=[CH:4][N:5]=[N:6]1,58.54715
14,14,[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[OH:1][c:2]1[n:3][cH:4][nH:5][n:6]1,48.00114
15,15,[n:1]1[cH:2][n:3][c:4]([OH:6])[nH:5]1>>[NH:1]=[C:2]=[N:3][C:4](=[NH:5])[OH:6],75.62779
16,16,[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[O:1]=[c:2]1[nH:3][cH:4][n:5][nH:6]1,43.97984
17,17,[n:2]1[cH:4][n:3][c:6]([OH:7])[nH:5]1>>[H:1]/[N:2]=[N:3]/[C@H:4]1[N:5]=[C:6]1[OH:7],109.01599
18,18,[cH:1]1[n:2][c:3]([OH:4])[nH:5][n:6]1>>[CH:1]#[N+:2][C:3]([OH:4])[NH:5][N-:6],121.78099
19,19,[cH:1]1[n:2][nH:3][c:5]([OH:6])[n:4]1>>[CH:1]#[N+:2][NH-:3].[N:4]#[C:5][OH:6],93.51989
20,20,[nH:2]1[c:3]([OH:4])[n:5][cH:6][n:7]1>>[H:1]/[N:2]=[C:3](\[OH:4])[N:5]1[CH:6]=[N:7]1,85.91394
