,mol,Eafw,enan,rxn_smiles,rxn_smiles_mapped
0,1abp1,8.674063459,R,[Si@OH14-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH14-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1
1,1abp2,7.572784332,R,[Si@OH28-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH28-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1
2,1abp3,12.31612845,R,[Si@OH22-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH22-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1
3,1abp4,9.298435386,R,[Si@OH25-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH25-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1
4,1abp5,10.17820367,R,[Si@OH1-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH1-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1
5,1aMebp1,8.611312512000001,R,[Si@OH14-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH14-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1
6,1aMebp2,7.350018469,R,[Si@OH28-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH28-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1
7,1aMebp3,14.438993,R,[Si@OH22-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH22-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1
8,1aMebp4,9.400091921,R,[Si@OH25-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH25-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1
9,1aMebp5,10.25036726,R,[Si@OH1-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C@]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1,[Si@OH1-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C@:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1
