,label,reactants,products,EA Reactant MP2,EA lowest conformer MP2,lowest energy conformer filenames,product_file
0,A_A_A_A_A_A,A_A_A_A_A_0,A_A_A_A_0_0,0.8971505355341378,0.8971505355341378,reactant-conformers/A_A_A_A_A_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
1,A_A_A_A_B_A,A_A_A_A_B_0,A_A_A_A_0_0,-6.517102162930996,-6.517102162930996,reactant-conformers/A_A_A_A_B_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
2,A_A_A_A_B_B,A_A_A_A_B_0,A_A_A_A_0_0,-26.591754210057847,-26.591754210057847,reactant-conformers/A_A_A_A_B_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
3,A_A_A_A_B_C,A_A_A_A_B_0,A_A_A_A_0_0,26.776744190836325,26.776744190836325,reactant-conformers/A_A_A_A_B_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
4,A_A_A_A_B_D,A_A_A_A_B_0,A_A_A_A_0_0,31.220402823528275,31.220402823528275,reactant-conformers/A_A_A_A_B_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
5,A_A_A_A_C_A,A_A_A_A_C_0,A_A_A_A_0_0,-9.567071692081981,-9.567071692081981,reactant-conformers/A_A_A_A_C_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
6,A_A_A_A_C_B,A_A_A_A_C_0,A_A_A_A_0_0,-29.19091583560657,-29.19091583560657,reactant-conformers/A_A_A_A_C_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
7,A_A_A_A_C_C,A_A_A_A_C_0,A_A_A_A_0_0,20.95548453507945,20.95548453507945,reactant-conformers/A_A_A_A_C_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
8,A_A_A_A_C_D,A_A_A_A_C_0,A_A_A_A_0_0,25.129568738630038,25.129568738630038,reactant-conformers/A_A_A_A_C_0/00.xyz,product-conformers/e2/A_A_A_A_0_0/00.xyz
9,A_A_A_C_A_A,A_A_A_C_A_0,A_A_A_C_0_0,-26.061932671082786,-25.910431614344592,reactant-conformers/A_A_A_C_A_0/00.xyz,product-conformers/e2/A_A_A_C_0_0/00.xyz
10,A_A_A_C_B_C,A_A_A_C_B_0,A_A_A_C_0_0,11.764493996452074,11.928065217158293,reactant-conformers/A_A_A_C_B_0/00.xyz,product-conformers/e2/A_A_A_C_0_0/00.xyz
11,A_A_A_D_A_A,A_A_A_D_A_0,A_A_A_D_0_0,-1.2751898892699955,-1.1269412896606354,reactant-conformers/A_A_A_D_A_0/01.xyz,product-conformers/e2/A_A_A_D_0_0/00.xyz
12,A_A_A_D_A_B,A_A_A_D_A_0,A_A_A_D_0_0,-28.360070483227897,-28.21182188361854,reactant-conformers/A_A_A_D_A_0/01.xyz,product-conformers/e2/A_A_A_D_0_0/00.xyz
13,A_A_A_D_B_A,A_A_A_D_B_0,A_A_A_D_0_0,-9.174098449870826,-9.170732157125485,reactant-conformers/A_A_A_D_B_0/01.xyz,product-conformers/e2/A_A_A_D_0_0/00.xyz
